魔女语        , 含义                                          , 词源/备注
Conjuctions   , 日语接续词（连词）                            , 
Iz'u          , 是；表示动作、状态或主题                      , 原型为英语“is”
oF            , 的；表示所属关系                              , 原型为英语“of”
N'o           , 的；含义比“oF”更宽泛                          , 日语假名“の”的罗马音
S~ond'        , 然后；而，又，而且                            , 
Owk           , 或者；或许；否则                              , 
aSte          , 作为;...的时候;随着                           , 英语“as”+日语“て(te)”
SiVa          , 然而，但是                                    , 
BuggAh        , 但是                                          , 可是（否定意味更强），英语“but”+日语“が(ga)”
KaRause       , 因此，所以                                    , 日语“から(kara)”+英语“because”
aZaGara       , 一边……一边……；尽管……仍然……                    , 日语“ながら(nagara)”
itsWA         , 到此为止                                      , 
Ca-nay        , 做不到                                        , 英语“can”+日语“ない(nai)”
Ca-nan        , 能做到                                        , 英语“can”
ShouBeK       , 应该做                                        , 英语“should”+日语“べき(beki)”
meKaMo        , 也许，可能                                    , 英语“maybe”+日语“かも(kamo)”
DiGhT         , 表推量、反问、推测、假设；定会……              , 英语“right”+日语“だろう(darou)”
Ada           , 那个                                          , 
Ado           , 这个                                          , 
Eda           , 那里                                          , 
Edo           , 这里                                          , 
WAirTell      , 第一人称，我                                  , 
rAwTell       , 第二人称，你                                  , 
ObTell        , 第三人称，他/她/它                            , 
Eleden        , 是谁也好；无论是谁                            , 
Lai Nei       , 好像；如同···                                 , 
Bah           , 表示强调该词前的单词                          , 
oRei          , 表示该词前的单词的命令形                      , 英语“order”+日语“命令(meirei)”
LaVI          , 法(律)的恶魔                                  , 英语“law”+“Devil”
hung gement   , 判决                                          , 日语“判决(hanketsu)”+英语“judgement”
pris'jeen     , 囚犯                                          , 英语“prison”+日语“囚人(shūjin)”
LowhEll       , 牢狱，监狱                                    , 日语“牢獄(rōgoku)”+英语“hell”
Guil-me       , 罪，罪行，罪孽                                , 英语“guilty”+日语“罪(tsumi)”
senty-hungment, 裁判，审判，审理                              , “判决”的变体
sent-ky       , 裁判，审判，解析，判断，分辨                  , 英语“sentence”+日语“裁き(sabaki)”
horMELT       , 法槌                                          , 英语“gavel”?
Coa Tain      , 法庭                                          , 英语“court”+日语“法廷(hōtei)”
KeI·tion      , 处刑                                          , 日语“処刑(shokei)”+英语“execution”
DArime        , 断罪                                          , 日语“断罪(danzai)”+英语“crime”
Syu Tain      , 休庭                                          , 发音近中文“休庭”
cOnzAI        , 有罪                                          , 英语“convict”+日语“断罪(danzai)”
shi-des       , 死亡                                          , 日语“死(shi)”+英语“death”
MEif          , 生命                                          , 日语“命(mei)”+英语“life”
TOK           , 男性                                          , 日语“男(otoko)”
JIO           , 女性                                          , 日语“女(jo)”
litt JIO      , 少女                                          , 英语“little”+“JIO”
ievil JIO     , 魔女                                          , 英语“evil”+“JIO”
Divil JIO     , 大魔女                                        , 英语“devil”或日语“大(dai)”+“evil JIO”
eXi'          , 存在                                          , 英语“exist”
ChiDd         , 血                                            , 日语“血(chi)”+英语“blood”
muRm          , 杀人                                          , 英语“murder”
muRdon        , 杀人犯                                        , “murder”变体
muRmon        , 杀人魔                                        , 英语“murder”+“demon”
En-NOte       , 下场，末路；魔女的“残骸”                      , 英语“end”+日语“成れの果て(nare no hate)”
hison'        , 人类                                          , 日语“人(hito)”+英语“person”
ieyWOO        , 现在，此刻；现代；如今                        , 表时间
To-ya-ya      , 今夜                                          , 英语“tonight”+日语“今夜(konya)”
Toim          , 时间                                          , 日语“時(toki)”+英语“time”
Jus·tom       , 瞬间                                          , 英语“just”+“Toim”
Kast          , 过去                                          , 日语“過去(kako)”+英语“past”
zanCrue       , 残酷、残忍(的行为)                            , 日语“残虐(zangyaku)”+英语“cruel”
merc·lee      , 慈悲                                          , 英语“mercy”
dEs·lee       , 绝望                                          , 英语“despair”
PyusenS'e     , 无垢，无污点，纯洁                            , 英语“pure”
DowGuil       , 疑惑，疑虑                                    , 英语“doubt”+日语“疑惑(giwaku)”
Say mAl       , 正常                                          , 日语“正常(seijō)”+英语“normal”
anxAn         , 不安，担心；焦虑                              , 英语“anxious”+日语“不安(fuan)”
showroof      , 证明，证实；证据                              , 日语“証明(shōmei)”+英语“proof”
Sar-gedy      , 惨剧，惨案，悲惨事件                          , 日语“惨劇(sangeki)”+英语“tragedy”
SaiVI         , 灾祸，灾难                                    , 日语“災(sai)”+“VI(恶魔)”
Jiell         , 地狱                                          , 日语“地獄(jigoku)”+英语“hell”
FineNd        , 临终，绝命之际；结束，终点                    , 法语“fin”+英语“end”
yu-Range      , 果实，水果                                    , 英语“orange”? + 日语
GE-mon        , 门，大门；出入口                              , 英语“gate”+日语“門(mon)”
blasTOac      , 冒渎，亵渎                                    , 英语“Blasphemous”+日语“冒涜(bōtoku)”
mu·Yon        , 正面；另一侧；那边；对方；从今以后            , 日语“向こう(mukō)”+英语“yon”
zanfession    , 忏悔                                          , 日语“懺悔(zange)”+英语“confession”
pray·lee      , 祈祷                                          , 英语“pray”
sinruits      , 真实，事实                                    , 英语“sin”+“fruits”? 罪恶的果实
to-Bi         , 最坏，最糟，最不利                            , 英语“to be”? 或表“未来”
Taven         , 天堂；乐园                                    , 日语“天国(tengoku)”+英语“heaven”
Hir           , 能够飞行的(生物)；飞升；超脱                  , 原始日耳曼语“hibin-”? 表“天空”
Tei-Tance     , 抵抗                                          , 日语“抵抗(teikō)”+英语“resistance”
WiD           , 世界                                          , 英语“world”的缩略
PaiTum        , 痛楚，悲痛                                    , 英语“pain”+日语“痛み(itami)”
MeMe          , 意义；动机；价值                              , 英语“meaning”+日语“意味(imi)”
FuWana        , 花朵                                          , 英语“flower”+日语“花(hana)”
fOre          , 准确；可靠                                    , 英语“for sure”的缩略
KetZen        , 结尾，终结；(最后的)结果，结局                , 日语“結末(ketsumatsu)”
AccU          , 告发，检举，揭发                              , 英语“accuse”的截取
KolSu         , 声音                                          , 日语“声(koe)”+日式英语“noise”
DaRk rai      , 黑暗；昏暗的                                  , 英语“dark”+日语“暗い(kurai)”
Sen-choose    , 选择项                                        , 日语“選択肢(sentakushi)”+英语“choose”
SurC          , 生存                                          , 英语“survive”
Kei-P         , 继续，接续                                    , 日语“継続(keizoku)”
Co-Jundic     , 矛盾                                          , 英语“contradiction”+日语“矛盾(mujun)”
ULieSo        , 谎言                                          , 日语“噓(uso)”中插入英语“lie”
Memoid        , 记忆；回忆；纪念                              , 英语“memory”+日语“思い出(omoide)”
Per·SemOn     , 杂耍;出洋相;当众出丑                          , 英语“performance”+日语“見世物(misemono)”
mayCtION      , 鸣动，轰隆作响                                , 日语“鳴動(meidō)”
sAiMoku       , 沉默，寂静                                    , 英语“silence”+日语“沈黙(chinmoku)”
E-gOtable     , 心情，感觉                                    , 日语“居心地(igokochi)”+“table”?
a-Wet         , 汗；返潮；努力                                , 日语“汗(ase)”+英语“wet”
AyAmis        , 过失，罪过；错误，失败                        , 日语“過ち(ayamachi)”+英语“mistake”
LyuzUn        , 理由，缘故；借口                              , 日语“理由(riyū)”+英语“reason”
JokeDan       , 玩笑，戏言，笑话                              , 英语“joke”+日语“冗談(jōdan)”
We-Ho         , 方法；办法                                    , 英语“way”+日语”方法(hōhō)”
showence      , 证据，证明                                    , 日语“証拠 (shōko)”+英语“evidence”
KeyGa         , 钥匙                                          , 英语“key”+日语“鍵(kagi)”
FayO          , 面孔；表情，神色                              , 英语“face”+日语“顔(kao)”
CalmSey       , 沉着，清醒，冷静                              , 英语“calm”+日语“冷静(reisei)”
ShiFey        , 失败                                          , 日语“失敗(shippai)”+英语“fail”
Zelln         , 全体人员                                      , 日语“全員(zennin)”+英语“all”
Coword        , 话语，言辞                                    , 日语“言葉(kotoba)”+英语“word”
Kuth          , 口；嘴                                        , 日语“口(kuchi)”+英语“mouth”
ConWa         , 会话。谈话，对话                              , 英语“conversation”+日语“会話(kaiwa)”
hA-k          , 故事；话题；传闻；商谈；道理；话              , 日语“話(hanashi)”+英语“talk”
KuwPace       , 空间；空隙                                    , 日语“空間(kūkan)”+英语“space”
riNjity       , 现实；真实                                    , 英语“reality”+日语“現実(genjitsu)”
Commity       , 大抵；大概；普通                              , 英语“common”+日语“大抵(taitei)”
kOht          , 心                                            , 日语“心(kokoro)”+英语“heart”
SeNaji        , 同样，一样                                    , 英语“same”+日语“同じ(onaji)”
nAddY         , 伙伴；同类                                    , 日语“仲間(nakama)”+英语“buddy”
Trench        , 朋友，友人                                    , 日语“友達(tomodachi)”+英语“friend”
rEcanRey      , 关系                                          , 英语“relation”+日语“関係(kankei)”
cUrOi         , 诅咒                                          , 英语“curse”+日语“呪い(noroi)”
sHo-pulse     , 冲动；(精神上的)打击                          , 日语“衝動(shōdō)”+英语“impulse”
cLowKe        , 小丑，丑角                                    , 英语“clown”+日语“道化(dōke)”
CaNoSiri      , 大声吵闹，大骂                                , 日语“罵り(nonoshiri)”
gAMatience    , 忍耐，容忍，自制；将就，克服，让步            , 日语“我慢(gaman)”+英语“patience”
LiGh rai      , 光                                            , 英语“light”+“ray”
eMoJoh        , 感情，情绪                                    , 英语“emotion”+日语“感情(kanjō)”
KaRaDy        , 身体；体质；体格；健康                        , 日语“体(karada)”+英语“body”
kAn-deN       , 管理者                                        , 日语“管理者(kanrisha)”+英语“director”
TadACt        , 正确                                          , 日语“正しさ(tadashisa)”+英语“fact”或“correct”
tEnEKy        , 仇敌；对手；妨碍                              , 日语“敵(teki)”+英语“enemy”
SaLook        , 样子，状态；姿势，形状                        , 日语“様(sama)”+英语“look”
MokpOSe       , 目的；目标                                    , 日语“目的(mokuteki)”+英语“purpose”
sAgAin        , 再度                                          , 日语“再度(saido)”+英语“again”
son'          , 千                                            , 日语“千(sen)”+英语“thousand”
nEYar         , 年                                            , 日语“年(nen)”+英语“year”
LiE           , 爱                                            , 拼写同英语“lie-谎言”
hAkseCution   , 迫害，虐待                                    , 日语“迫害(hakugai)”+英语“persecution”
GoMi          , 上帝；神                                      , 英语“GOD”+日语“神(kami)”。读音同日语“ゴミ-垃圾”
kYoNAihim     , 虚无                                          , 日语“虚無(kyomu)”+“ない(nai)”+拉丁语“nihil”
neYO          , 必须，需要                                    , 英语“necessary”+日语“必要(hitsuyō)”
UnneYO        , 不要，不需要；无用；没有必要                  , 否定前缀“un-”+“neYO”
oBChak        , 执着，固执                                    , 英语“obsession”+日语“執着(shūchaku)”
AbiRyoku      , 能力                                          , 英语“ability”+日语“能力(nōryoku)”
Reka          , 红色                                          , 英语“red”+日语“赤(aka)”
Blo           , 蓝色                                          , 英语“blue”+日语“青(ao)”
Ro-Coh        , 吼叫，叫喊                                    , 英语“Roar”+日语“咆哮(hōkō)”
conf-Soy      , 纠纷，争吵，争执                              , 英语“conflict”+日语“争い(arasoi)”
wachi         , 一                                            , 英语“one”+日语“一(ichi)”
tuni          , 二                                            , 英语“two”+日语“二(ni)”
san           , 三                                            , 日语“三(san)”
foshi         , 四                                            , 英语“four”+日语“四(shi)”
fago          , 五                                            , 英语“five”+日语“五(go)”
sik           , 六                                            , 英语“six”+日语“六(roku)”
naven         , 七                                            , 日语“七(nana)”+英语“seven”
echi          , 八                                            , 英语“eight”+日语“八(hachi)”
nakyu         , 九                                            , 英语“nine”+日语“九(kyū)”
tone          , 十                                            , 日语“十(tō)”+英语“ten”
tone wachi    , 十一                                          , 
tone tuni     , 十二                                          , 
tone thn      , 十三                                          , “tone”+英语“thirteen”
haku          , 百                                            , 日语“百(hyaku)”
hAte          , 手                                            , 英语“hand”+日语“手(te)”
kiNbOO        , 禁忌                                          , 日语“禁忌(kinki)”+英语“taboo”
yOuLugiVe     , 宽恕，赦免                                    , 日语“許し(yurushi)”+英语“forgive”
dEstiMay      , 命运                                          , 英语“destiny”+日语“運命(unmei)”
imJune        , 不纯                                          , 英语“impure”+日语“不純(fujun)”
nOzuki        , 觉察，发觉；苏醒                              , 英语“notice”+日语“気付き(kizuki)”
Doubg         , 疑惑，怀疑；嫌疑，猜疑                        , 英语“doubt”+日语“疑問(gimon)”
iNiFicAnce    , 意义                                          , 日语“意義(igi)”+英语“significance”
Alte          , 全部                                          , 英语“all”+日语“全て(subete)”
mOurce        , 起源；根本；原因                              , 日语“元(moto)”+英语“source”
sAnAnd        , 沙子                                          , 英语“sand”+日语“砂(suna)”
weRer         , 迎接；死期                                    , 英语“welcome”+日语“迎え(mukae)”
Tarip         , 旅行                                          , 日语“旅(tabi)”+英语“trip”
hEayou        , 治愈或信仰                                    , 英语“heal”+日语“治癒(chiyu)”、“信仰(shinkō)”
Nii           , 错误的；不存在的；不需要的；表否定            , 
DaRk rai      , 昏暗的                                        , 英语“dark”+日语“暗い(kurai)”
Sha-Rui       , 明亮的；鲜明的                                , 英语“shine”+日语“明るい(akarui)”
SuZai         , 臭的；可疑的；有讨厌气味的                    , 英语“smelly”+日语“臭い(kusai)”
Cocary        , 不安的；可怕的                                , 日语“恐い(kowai)”+英语“scary”
kA-ad         , 令人悲伤的                                    , 日语“悲しい(kanashii)”+英语“sad”
So-meRRy      , 心怀歉意的；请原谅我                          , 英语“sorry”+日语“ごめんなさい(gomennasai)”
fAnoSy        , 快乐的，高兴的                                , 英语“fan”+日语“楽しい (tanoshii)”
Ligh-Luw      , 轻的；轻松的；不重要的；轻率的                , 英语“light”+日语“軽い(karui)”
nAng          , 长的，远的；长久的                            , 日语“長い(nagai)”+英语“long”
ShoJikA       , 短的；简短的；短浅的                          , 英语“short”+日语“短い(mijikai)”
Baru          , 不好的；不正常                                , 英语“bad”+日语“悪い(warui)”
Pen·Sii       , 痛苦的；艰难的                                , 英语“pain”+日语“苦しい(kurushii)”
hArLie        , 辛苦的，难受的；刻薄的                        , 英语“hard”+日语“辛い(tsurai)”
Figeh`Sii     , 激烈的；严厉的；过深的；频繁的                , 英语“fierce”+日语“激しい(hageshii)”
HiLible       , 残酷；粗暴；严重                              , 日语“酷い(hidoi)”+英语“terrible”
ComChiYoi     , 愉快，舒适，惬意                              , 英语“comfortable”+日语“心地よい(kokochiyoi)”
wAsHe         , 想要；希望                                    , 英语“want”+日语“欲しい(hoshii)”
emBasy        , 惭愧的；羞耻的；难为情的                      , 英语“embarrassed”+日语“恥ずかしい(hazukashii)”
QuYakully     , 快的；早的                                    , 英语“quickly”+日语“早い(hayai)”
Tsu-dUll      , 无聊的；没意思的                              , 日语“つまらない(tsumaranai)”+英语“dull”
nOi-sAi       , 烦人的，吵闹的                                , 英语“Noisy”+日语“うるさい(urusai)”
iTohrable     , 可怜，可爱                                    , 日语“愛おしい(itooshii)”+英语“adorable”
IraPiss       , 烦躁，焦急                                    , 日语“苛立つ(iradatsu)”+“piss”
beAukShi      , 美丽的；高尚的                                , 英语“beautiful”+日语“美しい(utsukushii)”
YowEAk        , 脆弱的；软弱的                                , 日语“弱い(yowai)”+英语“weak”
tSuYoNg       , 强壮的；坚定的；强烈的；擅长的                , 日语“強い(tsuyoi)”+英语“strong”
aLFish        , 示弱的；以依赖维持关系的                      , 日语“甘え(amae)”+英语“selfish”
hAquEi        , 钦佩；可恨                                    , 英语“hate”+日语“憎い(nikui)”
Was·nAi       , 不胜惶恐的；过分(好)的；浪费的                , 英语“waste”+日语“もったいない(mottainai)”
CraeyTA'      , 破裂的；毁坏的                                , 英语“crack”+日语“壊れた(kowareta)”
madRazy       , 疯狂的；不理智的                              , 英语“mad”+“crazy”
FooKah        , 愚蠢的                                        , 英语“fool”+日语“愚かな(orokana)”
oCcurreLe     , 引起的；发动的；出现的；存在的                , 英语“occur”
Ya-Rame       , 燃烧的                                        , 日语“焼ける(yakeru)”+英语“flame”
pAciKa'       , 静止的；平静的；寂静的                        , 英语“pacific”+日语“静か(shizuka)”
Su-lime       , 崇高的；高尚的                                , 日语“崇高(sūkō)”+英语“sublime”
gDie          , 伟大的                                        , 英语“great”+日语“偉大(idai)”
koNSony       , 这样；如此                                    , 日语“こんなに(konnani)”+英语“so”
fAnSy         , 空想的；幻想的                                , 英语“fantasy”
LEA           , 来吧；表示劝诱或催促                          , 
namuNa        , 残酷；凄惨                                    , 日语“無惨(muzan)”+英语“nasty”?
Was·Da        , 徒劳；无用                                    , 英语“waste”+日语“無駄(muda)”
Su·Ready      , 已经，早就                                    , 日语“既に(sudeni)”+英语“already”
Meh·BeRac     , 恐怕，或许，大概，一定                        , 英语“maybe”+日语“恐らく(osoraku)”
deFuTai       , 无异议地，无条件地，无差错地，绝对            , 英语“definitely”+日语“絶対(zettai)”
gu-n          , 立即，马上                                    , 日语“すぐ(sugu)”+英语“now”?
Sonikah       , 不知何故；或表示疑问/反问语气                 , 日语“何か(nanika)”
eATah·Guy     , 彼此，互相                                    , 英语“each other”+日语“お互いに(otagai)”
Litto         , 恰好；宛如；整(时)，完全一致                  , 日语“ちょうど(chōdo)”
NAi           , 何故，为什么                                  , 英语“why”+日语“何故(naze)”
Ja·Da         , 仅仅，只是                                    , 英语“just”+日语“ただ(tada)”
oNkhe         , 仅有，只能；表示程度或范围的限制              , 英语“only”+日语“だけ(dake)”
Mof           , 如果，假如；即使万一……                        , 日语“もし(moshi)”+英语“if”
Soda          , 那么，那样(程度)                              , 
Dony-Toim     , 无论何时                                      , 英语“whenever”
Dony-How      , 无论如何                                      , 英语“however”
Batte         , 因为；根据；来自；通过                        , 日语“…によって/から(niyotte/kara)”
Matill        , 仍然；还；还是；依旧                          , 日语“まだ(mada)”+英语“still”
VariZaMa      , 种种，形形色色，各种各样                      , 英语“various”+日语“様々(samazama)”
Kanather      , 相当；出乎意料                                , 日语“かなり(kanari)”+英语“rather”
fOrAba        , 如果是为了···                                 , 英语“for”+日语“ためならば(tamenaraba)”
nEimoNai      , 都不是                                        , 英语“neither”+日语“どちらでもない(dochira demonai)”
itsver        , 曾经，以前；不知不觉；迟早                    , 日语“いつか(itsuka)”
hAnT          , 怎样，如何；多么；为什么                      , 英语“how”+日语“何と(nanto)”
yOUlowly      , 有余地，宽敞舒适，充裕；慢，不着急            , 日语“ゆっくり(yukkuri)”+英语“slowly”
Bavellabion   , 满溢着世人难以想象的、日益增长恶化的诅咒的言词, 日语中无对应词
Vani·tA       , 虚无；空无；无效                              , 
Vani·Ell      , 消失                                          , 
kee’on        , 继续；前进；持续                              , 
Oqun          , 开启；打开                                    , 
RacDA-m       , 掉落；坠落                                    , 
Know-Truw     , 知晓真相；理解真实                            , 英语“know truth”
i·zana-vited  , 被引导的；被引诱的；被邀请的                  , 日语“誘う(izanau)”+英语“invited”
GoKuu         , 虚空；无尽；深渊                              , 日语“虚空(kokū)”?
Za-**rk       , 粗俗用语                                      , 日语“杂鱼(zako)”?
shid          , 死；死的                                      , 
gE-ddoS       , 恢复；已经恢复                                , 